Date,Sales
2021-01-01,220
2021-02-01,230
2021-03-01,250
2021-04-01,265
2021-05-01,275
2021-06-01,290
2021-07-01,310
2021-08-01,305
2021-09-01,295
2021-10-01,320
2021-11-01,330
2021-12-01,360
2022-01-01,240
2022-02-01,250
2022-03-01,270
2022-04-01,285
2022-05-01,295
2022-06-01,315
2022-07-01,340
2022-08-01,335
2022-09-01,325
2022-10-01,355
2022-11-01,365
2022-12-01,395
2023-01-01,260
2023-02-01,275
2023-03-01,295
2023-04-01,310
2023-05-01,320
2023-06-01,345
2023-07-01,365
2023-08-01,360
2023-09-01,350
2023-10-01,380
2023-11-01,395
2023-12-01,420
